10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,
200,600,800,1300,2100,2800,3900,4500,5800,6600,8100,9100,10300,12200,13500,14800,16300,18000,20100,23000,23500,23800,27800,29100,31500,33900,36700,36900,39500,41700,43800,46400,52400,55200,56400,59700,65600,67000,70500,71300,74900,83000,88500,86400,92100,93400,102400,102000,108100,111700,115700,112800,121400,130300,131700,134100,144500,140400,143500,152300,157400,155500,166800,171600,175600,182100,179600,191600,193900,198400,220900,202500,204700,216300,226300,225400,229900,246400,365900,246000,253100,262000,264200,273500,289800,278200,319700,302800,301400,311000,339700,328600,333700,354500,359100,349100,350700,364100,368900,377500,
100,300,400,1100,1500,1800,2800,3800,6600,5400,6400,7300,8900,10100,11400,12800,14100,15500,17400,17400,20500,21800,24000,25700,27500,29900,33700,32900,34900,37600,40600,43100,48400,48000,52800,54800,58700,59600,68500,67500,70000,77600,82300,82700,90300,90700,91800,95600,102800,104100,105900,117300,115900,127900,124200,129800,145100,138200,162100,147400,162400,159600,181100,169500,178700,178700,175900,194600,197400,199600,215500,200200,210100,220400,226300,220600,238400,242600,260500,247200,262900,260600,268900,275000,291000,280800,306600,310100,302600,313900,327700,325900,324800,343000,356500,345200,356900,350900,364500,367500,
100,200,300,800,1000,1400,2200,2900,3700,4200,5700,6300,7400,8300,10100,11100,12600,13800,16000,16300,20100,19600,22400,23400,26300,28400,33500,31700,33900,36900,38800,41300,45000,45500,49200,54200,56900,61300,69200,66400,67300,79100,85100,83000,88700,87500,92800,98500,101900,104300,109500,111800,121600,122000,130800,129700,133400,135100,147300,151100,156100,159200,168200,169600,183600,184100,182100,191100,190600,196400,215500,198200,206600,223100,227000,234400,235000,232200,253500,244800,252100,260500,276800,273900,276500,277700,304000,313300,295000,306800,325600,325800,321500,343900,359900,352000,344200,363200,365000,371500,
0,200,300,600,900,1200,1800,2300,3200,3700,5000,5400,6400,7700,9600,10900,12000,14200,15200,15800,19100,18600,21700,22900,25700,29100,29700,32300,32100,35600,37600,40400,48400,44400,52200,61900,59400,61600,64200,67400,68000,74300,80300,81500,83300,88900,93900,99800,106600,104400,113200,109100,119000,123100,131500,131300,134700,137100,150100,148400,159200,156300,172200,166900,175600,175900,177400,186100,188500,196900,200300,194900,207800,218700,226500,221300,270700,234400,253500,240100,254100,258500,264300,265100,275000,287900,305200,304800,293000,305300,311700,323200,316900,336800,355200,342200,348800,358100,363800,370400,
0,100,300,500,800,1200,1600,2100,2900,3500,4600,5200,6100,7100,9100,10500,10700,12000,15100,15400,17800,17900,21200,22000,24900,26700,29900,31400,31400,34100,40100,42400,47900,49600,51400,59900,61000,63600,66500,63700,68300,78100,82000,82300,90200,89300,96000,96700,100100,104600,105600,111900,118600,119500,125000,132600,134600,134900,148300,145000,154200,157300,172000,163600,170500,176400,173800,190500,187800,195900,203500,197100,211900,225400,224600,229600,238400,231500,253600,243900,249700,261300,265100,265000,339000,277900,307500,293200,292200,307000,308800,319300,313300,328200,362500,345300,363200,355300,357000,379000,
100,100,300,500,700,1200,1700,2100,2700,3100,4400,5000,5800,6800,8800,10100,10200,11700,14800,14700,17000,17800,20700,21600,26300,27900,30100,30600,32800,36500,38700,41000,50100,46200,49100,56200,57000,58900,70200,63700,65700,74100,77500,80000,86100,92200,92600,122800,101000,104400,110900,112000,116700,122600,124400,126400,136600,134500,145000,144900,155700,160900,166800,166600,172500,181700,174100,189100,186500,196400,196900,202700,201700,214200,220800,223200,233300,235400,254700,239200,256400,261600,265200,265600,306200,273800,301400,294200,293500,305600,317800,317900,322400,329900,363400,339800,363700,354200,362200,368900,
100,100,300,500,700,1100,1600,2100,2600,3300,4200,4600,5700,6600,8300,12000,12700,11800,14300,14700,17400,17900,20500,21200,24400,27600,29600,29700,34300,39400,37900,41500,47600,50100,49900,54100,60100,59800,64000,63700,67100,76300,76400,81200,81400,87700,93600,106500,104500,107400,108300,111900,115300,120200,130000,128600,134400,140700,142900,145400,151600,160100,168900,167000,171400,183700,175800,194300,185400,197200,201000,199900,205900,210900,219400,215200,228600,236300,249400,235800,251300,262200,268200,275700,294200,277200,301000,300600,294900,301700,313700,316700,338500,334400,360600,344400,352900,357800,357700,368400,
0,100,200,400,700,1200,1500,1900,2600,3200,4100,4500,5700,6500,8400,9800,9900,11400,14000,14500,17800,17600,20200,23100,26500,28500,31800,31700,33900,36700,37800,39500,45500,45500,49900,53400,57900,58800,64100,65200,71300,75600,82200,79400,85400,92100,93300,99600,100200,107500,109300,114400,117100,121300,124400,128800,140800,144500,141800,149400,154300,160000,168700,162400,179500,179100,174500,180700,190000,195800,199600,199600,203700,214300,228100,215800,229500,237800,349100,243000,251800,258200,262400,266300,287400,277100,305800,290300,296900,337500,312000,316400,328900,328500,354500,345100,342000,360900,369200,369200,
0,100,300,400,700,1100,1400,1800,2600,2900,3700,4300,5500,6300,8200,11400,9500,11200,14000,14300,16600,17300,20100,22900,26500,25300,31700,32200,32300,39300,43300,40900,46800,45000,51200,51800,56100,58500,66200,64200,64800,74500,78800,79200,84000,89100,92100,97200,99500,106500,107300,114500,116100,123300,125100,129600,141000,137200,145400,145900,152100,158100,169700,170800,175800,186800,175400,182000,185900,194300,201700,200300,203400,212300,220100,217300,234700,237100,254700,243700,253000,258500,262000,271000,281200,277400,298300,301800,291100,313700,310600,317100,324800,328300,360100,386400,348000,370100,356800,374400,
