189.98,417.958,632.46,965.078,1140.14,1368.117,1886.29,2101.272,2894.343,3167.844,3253.276,4109.193,4432.539,4874.022,5082.639,6215.595,6037.646,7246.245,8282.463,8601.607,8437.639,9229.698,10026.031,10271.274,11805.353,12880.114,12796.299,12811.339,14864.185,15289.484,15863.172,16534.433,19143.495,18562.294,18453.558,19533.483,20972.643,20518.055,21351.246,22229.829,23523.449,24614.015,23653.903,25703.903,26781.86,27266.174,28119.607,28842.322,29135.747,31379.884,32726.208,30983.574,33869.645,35219.938,34750.874,37508.608,35405.346,37943.912,37391.19,39163.959,40391.173,39641.887,41597.94,43214.381,43611.553,45461.14,44166.41,44928.884,46414.467,47729.301,49161.716,48095.143,49884.097,52883.435,51614.404,52387.928,53936.169,55750.231,55557.579,56297.564,60202.739,57791.988,61958.833,60815.018,62332.734,64806.01,64707.766,63359.341,66440.742,69100.601,70190.917,67661.507,71288.764,73355.139,72818.493,74507.916,72744.338,75095.433,76839.131,78244.443
10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
870,940,1373,1941,2536,2910,3877,4845,5735,6137,6655,7597,8219,9014,9570,10261,10465,11409,11988,12590,13677,13368,16408,16033,16175,18087,18367,19086,20443,20502,20713,20848,22821,24252,24595,45186,25400,27265,27856,28748,31502,30431,29874,31262,33578,33767,36460,37957,34797,38005,39694,39163,40172,40474,39686,40824,56651,44060,45188,45531,46130,46144,48334,48091,51007,63715,51910,52511,55579,55246,56888,54855,57087,56787,56296,57817,59326,63196,63617,63573,66806,72230,67092,66249,68548,70162,73663,73089,74440,78095,82193,78683,89031,85138,81526,85164,84210,88464,92619,92127
351,692,1031,1380,1954,2424,3549,4020,4781,5037,5730,6541,7081,7747,8139,10428,11074,11953,12993,13013,14813,14241,15733,16666,17553,19055,19296,19396,21712,22574,21887,22072,26512,26582,25343,29597,27296,30228,28891,29732,32276,31684,31464,32380,36187,34660,37879,55190,37759,38117,42351,40354,42217,44221,41388,45975,42190,45979,47464,47880,48974,48729,49497,49930,51685,52815,53102,53907,55041,57368,60592,56652,58515,63062,60978,60393,62547,65144,65599,65549,70225,67200,70045,69533,71490,73765,73142,71528,76384,82579,83573,81471,87641,83453,82284,86591,88543,86313,89814,88351
226,556,753,1047,1553,2001,2930,3467,3996,4509,4913,5859,6180,7282,7208,9315,10100,10411,11458,11589,13327,13110,14937,15129,16832,18748,18163,18362,20630,21800,21446,21276,24846,25442,24378,29348,26904,30846,28415,29018,31124,31152,30734,32128,35579,33109,37341,36625,35992,37146,41308,38582,41859,43862,40788,47013,40990,47114,46295,47517,47851,47848,48732,48827,51010,52562,51698,53044,54497,56636,58625,55552,57396,61470,57565,59933,61333,64492,64051,64038,71937,70470,72315,67831,69781,75445,71654,70695,74731,74740,80470,73691,79436,83860,75913,80199,81553,81226,81995,83362
198,512,647,934,1337,1664,2693,3102,3842,4193,4649,5551,5766,6809,6572,8594,8978,10277,10987,10766,11653,12583,14110,14642,15785,17706,17458,17728,19977,21053,20483,20503,24105,24190,23716,66402,26618,27609,27217,28197,34507,29463,29715,30599,50094,31829,36367,35227,34190,36931,39642,63971,42970,42014,39535,60787,39971,44062,44012,45755,46546,45961,48566,47731,49689,50661,64121,51433,52652,55855,57710,54918,56416,59506,55525,61016,60282,63528,66056,62392,66628,70502,67589,66975,68006,70827,71197,68975,73515,73538,73929,72133,77930,76730,74987,78797,78878,79490,81242,82955
182,497,624,912,1259,1518,2569,2846,3558,4028,4402,5252,5583,6534,6348,8467,8472,9564,10435,10488,11055,12100,13606,14437,15823,16910,16421,16949,19145,20202,19363,22348,23283,23465,22621,28596,25431,24492,27064,27377,29617,28794,28794,30127,30919,30681,35467,34917,33207,35035,39798,36127,38764,41097,38194,41551,39210,43054,43044,44821,46098,44697,46688,46630,48903,49339,50976,54288,51240,54047,55533,53141,55538,61736,54666,56760,58359,64482,61396,60666,65413,63613,67162,65454,66191,69238,69153,68399,74714,72461,73196,70501,87986,76055,72729,83534,78394,77997,80360,80909
186,438,590,897,1164,1433,2423,2673,3364,3896,4181,5069,5306,6269,6307,7890,7995,9245,9833,10197,10741,11984,13048,13614,14959,16237,16003,15760,18560,19748,18786,19436,22852,22672,21903,24068,24651,23756,25767,26983,28571,28208,27620,29649,30242,30259,33973,33273,32497,34821,37914,35481,37766,39990,37627,40217,38042,41691,42330,43371,44630,44051,45892,45623,47430,48863,49963,49278,51186,55606,57224,51638,53665,57928,54038,55728,57391,60813,60312,61956,65536,62491,65958,63439,65207,67547,67723,67611,71403,71046,71870,69965,71000,73701,72180,76546,77117,82209,79296,79900
198,458,574,905,1143,1404,2325,2630,3530,3914,4167,4808,5168,5989,5886,7624,8008,9273,9586,9945,10321,11069,12732,13437,14580,15716,15997,15387,18278,19313,18359,19056,22426,21957,21461,23809,23798,23273,25262,26611,27960,28158,27192,28675,29360,29464,33135,33201,31577,33669,37084,34503,36983,39628,36654,39386,37262,40877,41988,42899,43395,43724,45306,44482,46039,48216,49287,49045,50100,52298,53106,50015,52740,56857,53333,54895,56455,59925,59314,59432,64642,61594,65463,63010,65282,66969,67089,65480,69750,70328,70770,69262,70298,73598,75541,74740,80287,75964,78058,79279
183,408,585,899,1157,1385,2381,2566,3276,3796,4176,4647,5244,5873,5923,7418,7700,9051,9520,9753,10301,10927,12425,13133,14350,15270,15576,15059,17877,18587,17995,18502,21790,21492,21331,22360,23428,22676,27173,25899,27199,27545,26884,27855,29103,29619,31943,32484,31856,32793,35699,33733,36304,38450,35589,45195,36379,40306,41422,42918,42511,42696,44734,43850,49379,46499,48443,47821,48869,51322,52845,49896,52025,56691,52469,54543,55130,59050,58420,58518,75871,59921,64213,62900,63819,66405,66924,65630,69572,69394,70511,68171,69878,72792,71089,74407,75605,76391,77762,78699
